ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
9044,407.31,0.12308,0.96197,4.0502,6.3085,5.6286,2.4839,0.44363,0.00012466
5683,687.81,0.0029463,0.45167,2.5582,6.9957,5.9587,3.5215,0.50894,0.0022751
14228,9.6656,0,0,0,0,0,0,0,0
29894,1788.3,0.015987,0.56756,2.8436,6.952,5.9512,3.0211,0.62041,0.028186
32299,1047.4,0.015311,0.6372,2.9466,7.1307,5.6784,2.9162,0.66198,0.013615
37955,230.04,0.015692,0.32341,3.093,7.4271,5.8506,2.9221,0.35371,0.01431
10101,546.46,0.0066201,0.51307,2.6773,7.0537,5.9735,3.2378,0.53233,0.0056728
19649,10391,0.086521,0.78062,3.3258,6.9388,5.7202,2.6652,0.46608,0.016754
51222,75.799,0.00032674,0.91163,3.6323,6.3982,5.9346,3.1221,0.00020553,0.00066749
32817,378.01,0.0027423,0.53448,2.8157,6.5014,6.7324,2.8059,0.60528,0.0021908
