ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
16198,452.67,0.0083844,0.0029861,2.4902,6.9637,6.4147,4.105,0.0066508,0.008426
16248,69.347,0.0017738,0.0016346,0.00078342,11.457,8.5341,0.0010713,0.0016909,0.0017156
16321,1445.3,0.066543,1.0079,4.3751,6.5719,5.3425,2.2441,0.37702,0.015025
16324,1503.8,0.33894,0.67281,2.9325,6.4306,5.7554,2.8009,0.75431,0.31451
16351,719.15,0.0068711,0.42437,3.1581,7.2222,6.075,2.6566,0.45095,0.0059968
16429,203.17,0.39895,0.7736,3.3531,5.9056,5.7132,2.7614,0.76345,0.33075
16467,451.74,0.0065784,0.5462,2.7396,7.3904,5.6913,2.9655,0.6551,0.0052929
16482,642.48,0.0027051,0.50095,3.1158,7.2634,5.8505,2.7342,0.53043,0.0019423
16517,1510,0.0091294,0.9347,3.8249,7.2584,5.2363,2.4282,0.2954,0.013022
16534,142.52,0.0044861,0.0035262,2.4008,7.767,6.8109,3.007,0.0020259,0.0043471
16554,1066.9,0.006797,0.58757,3.1474,6.8206,5.942,2.9341,0.55559,0.0059844
16555,400.42,0.0045719,0.37937,2.5441,6.986,6.0056,3.3945,0.67956,0.006314
16572,746.59,0.015598,0.57636,3.1032,6.9618,6.0618,2.6868,0.58067,0.013797
16587,314.9,0.0028049,0.96396,2.7502,6.1462,5.4115,2.7739,1.0991,0.8524
16614,45.121,0,0,0,0,0,0,0,0
16619,545.17,0.26968,0.69813,3.1118,6.4991,5.6285,3.0924,0.70018,0.00020491
16672,806.05,0.015556,0.46393,3.0613,6.6717,6.1724,3.1353,0.46544,0.014413
16687,69.838,0.0012573,0.0012179,0.00043733,10.63,9.3639,0.0011383,0.0012199,0.0012605
16738,543.63,0.011372,0.010712,3.4408,7.148,6.2576,3.1139,0.006445,0.011123
16761,144.9,0.0029493,0.75995,4.44,7.4095,4.8592,2.2356,0.28766,0.0052248
16783,592.53,0.0065554,0.56302,2.7075,7.3319,5.9206,2.8843,0.58035,0.0058096
16811,817.34,0.089172,0.66347,3.0296,6.7602,5.7976,3.2505,0.40879,0.00062936
16818,92.085,0.013143,0.37331,2.2157,7.908,5.6016,3.1664,0.70655,0.015316
16842,219.73,1.6141,1.257,2.5426,4.9064,4.2971,2.8453,1.7351,0.80224
16895,614.77,0.6435,0.87533,2.6904,6.3879,5.3917,2.7718,0.82809,0.41123
16897,809.78,0.0065821,0.52715,2.8487,6.8859,6.1036,2.9933,0.6292,0.0056393
16926,785.39,0.0065307,0.59398,3.0328,6.9696,5.7372,3.0079,0.6464,0.0055546
16937,465.79,1.1627,1.0887,2.6071,5.4963,4.7116,2.7061,1.3151,0.91249
16972,845.34,0.35067,1.0207,3.2255,6.7397,4.9619,2.6071,0.78117,0.3133
16987,244.16,0.011207,0.009619,3.2414,7.1083,5.9672,3.6449,0.0064373,0.01087
16994,243.6,0.00049568,0.0001237,2.8233,7.4474,5.6825,4.0453,0.00033057,0.00048615
1703,324.81,0.0080112,0.0032494,4.9276,6.9569,5.7929,2.2971,0.0060183,0.0083056
17032,263.53,0.013327,0.27969,2.3864,6.9983,6.1624,3.5611,0.58268,0.016084
17046,526.11,0.011147,0.0096139,3.1893,7.1303,6.0908,3.5518,0.0062534,0.010794
17095,506.21,0.45264,0.79928,2.7197,6.3144,6.1068,2.8582,0.74309,0.0059199
17127,464.63,0.0068774,0.45562,2.8733,7.5222,5.8527,2.9889,0.29418,0.0063407
17129,536.42,0.65144,1.013,2.7919,6.0986,5.3697,3.0851,0.98837,0.0018382
17160,9.9651,0,0,0,0,0,0,0,0
17176,533.2,0.002612,0.62416,2.8039,6.8218,6.0407,3.1201,0.58458,0.002111
17181,5.5986,0,0,0,0,0,0,0,0
17189,648.15,0.71062,0.83076,2.7643,6.0731,5.0166,3.0059,1.0691,0.52961
17200,100.64,0.0052634,2.032,4.5461,5.8661,4.8316,2.7022,0.0061799,0.010557
1723,757.76,0.0067634,0.67522,3.0728,7.1867,5.7107,2.7742,0.5676,0.00607
17262,870.85,0.0029711,0.57669,2.8041,7.1516,5.7854,3.05,0.5369,0.092401
17264,1161.7,0.0066032,0.5661,3.0056,7.0755,6.0397,2.7862,0.51468,0.0055259
17289,354.93,0.0068225,0.61642,3.0292,7.1876,5.7735,2.8739,0.50694,0.0056475
17305,385.03,0.12412,0.54401,2.3795,6.6853,5.8962,3.6936,0.67452,0.0028442
17306,139.67,0.006358,0.84981,2.6426,7.1436,5.6017,3.1666,0.58369,0.0055418
17345,358.75,0.0067128,0.41816,2.8549,7.315,6.0488,2.9654,0.38501,0.0060401
17382,400.03,0.29575,0.57533,3.0799,6.9842,4.9856,2.8892,0.92762,0.26237
17404,814.72,0.00663,0.48227,2.822,7.0151,6.0029,3.0997,0.56569,0.0056989
17412,622.92,0.37324,0.73024,2.8464,6.4767,5.5276,3.0333,0.67961,0.33287
17519,172.06,2.3155,2.1582,2.6129,3.8105,3.7853,2.1187,2.2347,0.96425
17535,738.97,0.44978,0.68443,2.7093,6.5684,5.1973,3.1381,0.86491,0.38777
17581,512.16,0.12425,0.60053,2.8556,6.8531,5.886,2.8823,0.71026,0.08794
17591,83.798,0.011359,0.010543,4.1722,7.2384,5.5919,2.958,0.0064683,0.011108
17606,187.69,0.001017,0.0010101,0.00058645,10.738,9.2565,0.00046978,0.0010067,0.00099421
17633,319.6,0.011411,0.0096704,3.3926,6.83,6.1803,3.5578,0.0070994,0.011109
17644,362.56,0.011428,0.010788,3.3213,7.591,6.0396,3.0081,0.0065826,0.011179
17647,372.23,0.0066462,0.46477,2.631,7.0149,6.1289,3.2158,0.53222,0.0057966
17742,121.01,0.0078866,0.0026478,2.8758,7.029,6.3269,2.8162,0.93598,0.0055699
1775,14.81,0,0,0,0,0,0,0,0
17821,489.31,0.0065506,0.56064,2.8989,6.7938,6.0782,2.9565,0.70002,0.0053541
